Order,Family,Genus,Species,Location,Mass,Fat,FFWT,CNS,HEART,MUSCLE,BONE
Carnivora,Felidae,Felis,canadensis,Alaska,7688,1120,6568,105.09,27.59,4341.45,631.18
Carnivora,Felidae,Felis,rufus,Virginia,6152,738,5414,81.75,25.45,3600.31,552.23
Carnivora,Mustelidae,Gulo,luscus,Alaska,9362,562,8800,85.36,80.96,5271.2,879.12
Carnivora,Mustelidae,Mustela,erminea,Alaska,183.3,3.1,180.2,6.69,1.87,104.7,21.98
Carnivora,Mustelidae,Mustela,vison,Virginia,1032,66,966,18.06,7.63,581.53,80.27
Carnivora,Proyonidae,Procyon,lotor,Virginia,6040,1013,5027,58.31,36.19,2920.69,517.78
Chiroptera,Molossidae,Molossus,major,Brazil,11.07,0.22,10.89,0.35,0.15,5.51,1.36
Chiroptera,Phyllostomidae,Artibeus,jamaicensis,Brazil,40.47,3.79,36.18,0.96,0.47,18.02,4.48
Chiroptera,Phyllostomidae,Artibeus,lituratus,Brazil,63.65,6.22,57.19,1.21,0.74,29.05,8.09
Chiroptera,Phyllostomidae,Glossophaga,soricina,Brazil,7.22,0.25,7.15,0.37,0.1,3.86,0.69
Chiroptera,Phyllostomidae,Phyllostomus,discolor,Brazil,34.37,2.38,32.2,1,0.36,16.49,3.87
Chiroptera,Phyllostomidae,Phyllostomus,hastatus,Brazil,92.26,5.41,87.05,2.1,0.89,47.01,11.75
Chiroptera,Phyllostomidae,Sturnira,lilium,Brazil,15.39,1.21,14.25,0.62,0.16,6.33,2.04
Chiroptera,Phyllostomidae,Vampyrops,lineatus,Brazil,22.03,1.59,20.24,0.76,0.24,10.59,2.23
Chiroptera,Vespertilionidae,Eptesicus,fuscus,Virginia,17.88,1.51,16.37,0.32,0.19,7.43,2.26
Edentata,Dasypodidae,Euphractos,sexcinctus,Brazil,2459,252.2,2123,19.32,12.95,864.06,269.2
Insectivora,Talpidae,Scalopus,aquaticus,Virginia,44.64,1.23,43.41,1.01,0.34,21.88,5.3
Lagomorpha,Ochotonidae,Ochotona,collaris,Alaska,120.9,7,113.9,3.06,0.73,57.18,11.32
Marsupialia,Didelphiidae,Didelphis,marsupialis,Virginia,1411,107,1304,7.56,7.56,681.99,203.42
Primates,Calllitrichidae,Callithrix,jacchus,Brazil,186,8.7,176.2,7.56,1.22,87.92,26.69
Rodentia,Castoridae,Castor,canadensis,Virginia,9331,865,8466,53.34,27.94,4622.44,897.4
Rodentia,Cricetidae,Clethrionomys,gapperi,Virginia,18.34,0.14,18.2,0.64,0.13,9.25,2.22
Rodentia,Cricetidae,Clethrionomys,rutilus,Alaska,25.27,0.72,24.55,0.6,0.19,11.34,1.94
Rodentia,Cricetidae,Lemmus,trimucronatus,Alaska,41.62,0.75,40.87,1.03,0.28,19.94,3.82
Rodentia,Cricetidae,Microtus,pennsylvanicus,Virginia,31.38,1.2,30.18,0.76,0.26,14.46,2.59
Rodentia,Cricetidae,Microtus,oeconomus,Alaska,24.83,0.45,24.38,0.67,0.19,11.12,2.44
Rodentia,Cricetidae,Microtus,pinetorum,Virginia,19.41,0.45,18.96,0.57,0.15,9.46,1.86
Rodentia,Cricetidae,Ondatra,zibethica,Virginia,1180,86,1094,7.11,3.5,679.37,115.96
Rodentia,Cricetidae,Oryzomys,palustris,Virginia,61.62,7.88,53.74,1.11,0.34,26.92,5.33
Rodentia,Cricetidae,Peromyscus,leucopus,Virginia,16.99,0.59,16.4,0.61,0.17,8.02,1.49
Rodentia,Cuniculidae,Cuniculus,paca,Brazil,1565,196.5,1368,29,7.8,737.35,140.9
Rodentia,Dasyproctidae,Dasyprocta,aguti,Brazil,2097,263.4,1833.8,25.86,13.94,1115.13,168.53
Rodentia,Erethizontidae,Erethizon,dorsatum,Virginia,5339,674,4725,37.8,24.1,2197.13,576.45
Rodentia,Muridae,Mus,musculus,Virginia,15.88,0.96,14.92,0.48,0.15,7.07,1.22
Rodentia,Sciuridae,Citellus,undulatus,Alaska,479,21,458,6,2.56,257.85,38.01
Rodentia,Sciuridae,Marmota,caligata,Alaska,3558,749,2809,20.37,16.57,1671.36,257.02
Rodentia,Sciuridae,Marmota,monax,Alaska,2194,536.5,1657.5,12.73,8.11,817.13,149.49
Rodentia,Sciuridae,Sciurus,carolinensis,Virginia,499,11,488,8.88,2.83,306.46,51.73
Rodentia,Sciuridae,Tamiasciurus,hudsonicus,Alaska,192.8,3.8,189,5.5,1.68,114.16,18.16
