"ind1" "ind2" "ind3" "ind4" "ind5" "ind6" "ind7" "ind8" "ind9" "ind10" "ind11" "ind12" "ind13"
"ind1" 1 0.0952380952380952 0.0952380952380952 0.476190476190476 0.0952380952380952 0.0952380952380952 0.380952380952381 0 0 0.380952380952381 0.666666666666667 0.571428571428571 0.19047619047619
"ind2" 0.0952380952380952 1 0.761904761904762 0.0952380952380952 0.761904761904762 0.380952380952381 0.0952380952380952 0.0952380952380952 0.19047619047619 0.19047619047619 0.19047619047619 0 0.0952380952380952
"ind3" 0.0952380952380952 0.761904761904762 1 0 0.476190476190476 0.761904761904762 0.0952380952380952 0 0.0952380952380952 0.19047619047619 0.19047619047619 0 0.0952380952380952
"ind4" 0.476190476190476 0.0952380952380952 0 1 0.0952380952380952 0.0952380952380952 0.761904761904762 0.0952380952380952 0.0952380952380952 0.380952380952381 0.571428571428571 0.380952380952381 0.19047619047619
"ind5" 0.0952380952380952 0.761904761904762 0.476190476190476 0.0952380952380952 1 0.476190476190476 0.0952380952380952 0.19047619047619 0 0.0952380952380952 0.19047619047619 0.19047619047619 0.0952380952380952
"ind6" 0.0952380952380952 0.380952380952381 0.761904761904762 0.0952380952380952 0.476190476190476 1 0.19047619047619 0.0952380952380952 0 0 0 0.19047619047619 0.19047619047619
"ind7" 0.380952380952381 0.0952380952380952 0.0952380952380952 0.761904761904762 0.0952380952380952 0.19047619047619 1 0.19047619047619 0.0952380952380952 0.761904761904762 0.380952380952381 0.380952380952381 0.19047619047619
"ind8" 0 0.0952380952380952 0 0.0952380952380952 0.19047619047619 0.0952380952380952 0.19047619047619 1 0 0.0952380952380952 0 0 0
"ind9" 0 0.19047619047619 0.0952380952380952 0.0952380952380952 0 0 0.0952380952380952 0 1 0 0.19047619047619 0 0
"ind10" 0.380952380952381 0.19047619047619 0.19047619047619 0.380952380952381 0.0952380952380952 0 0.761904761904762 0.0952380952380952 0 1 0.666666666666667 0.666666666666667 0.0952380952380952
"ind11" 0.666666666666667 0.19047619047619 0.19047619047619 0.571428571428571 0.19047619047619 0 0.380952380952381 0 0.19047619047619 0.666666666666667 1 0.571428571428571 0.19047619047619
"ind12" 0.571428571428571 0 0 0.380952380952381 0.19047619047619 0.19047619047619 0.380952380952381 0 0 0.666666666666667 0.571428571428571 1 0.0952380952380952
"ind13" 0.19047619047619 0.0952380952380952 0.0952380952380952 0.19047619047619 0.0952380952380952 0.19047619047619 0.19047619047619 0 0 0.0952380952380952 0.19047619047619 0.0952380952380952 1
