Hauls,mackerel,bluefin,sardine,squid,limpet
1,1.851,55.6,0.058,6,0.0004
2,1.925,1.2,0.252,0.08,0.0027
3,2.506,1.56,0.133,0.06,0.0015
4,1.537,30,0.064,9.35,0.0013
5,1.795,0.04,0.086,4.7,0.0022
6,3.371,45,0.078,7.66,0.0006
7,3.222,32,0.414,12,0.0066
8,2.676,12.99,0.144,1.14,0.0015
9,2.616,0.66,0.093,0.02,0.0008
10,3.601,0.33,0.563,0.02,0.024
11,4.407,5.53,0.253,0.59,0.0087
12,3.309,1.43,0.134,0.04,0.0007
13,6.256,4.76,0.744,6.76,0.002
14,4.303,20,0.522,173.51,0.0048
15,4.405,25.71,0.21,1.35,0.0006
16,6.823,256.83,1.069,2.4,0.0137
17,5.171,12.2,0.373,0.55,0.0071
18,7.071,2.95,0.658,0.56,0.0046
19,6.998,0.09,1.002,0.04,0.0075
20,5.036,2.47,0.345,0.53,0.0023
21,8.883,1.26,1.066,0.1,0.0109
22,8.771,0.93,1.245,0.26,0.0118
23,7.44,89,0.449,5,0.0017
24,6.519,2.1,0.481,0.21,0.0086
25,8.11,3.69,0.67,0.75,0.0023
