"","ind1","ind2","ind3","ind4","ind5","ind6","ind7","ind8","ind9","ind10","ind11","ind12","ind13"
"ind1",21,2,2,10,2,2,8,0,0,8,14,12,3.99999999999999
"ind2",2,21,16,2,16,8,2,2,3.99999999999999,3.99999999999999,3.99999999999999,0,2
"ind3",2,16,21,0,10,16,2,0,2,3.99999999999999,3.99999999999999,0,2
"ind4",10,2,0,21,2,2,16,2,2,8,12,8,3.99999999999999
"ind5",2,16,10,2,21,10,2,3.99999999999999,0,2,3.99999999999999,3.99999999999999,2
"ind6",2,8,16,2,10,21,3.99999999999999,2,0,0,0,3.99999999999999,3.99999999999999
"ind7",8,2,2,16,2,3.99999999999999,21,3.99999999999999,2,16,8,8,3.99999999999999
"ind8",0,2,0,2,3.99999999999999,2,3.99999999999999,21,0,2,0,0,0
"ind9",0,3.99999999999999,2,2,0,0,2,0,21,0,3.99999999999999,0,0
"ind10",8,3.99999999999999,3.99999999999999,8,2,0,16,2,0,21,14,14,2
"ind11",14,3.99999999999999,3.99999999999999,12,3.99999999999999,0,8,0,3.99999999999999,14,21,12,3.99999999999999
"ind12",12,0,0,8,3.99999999999999,3.99999999999999,8,0,0,14,12,21,2
"ind13",3.99999999999999,2,2,3.99999999999999,2,3.99999999999999,3.99999999999999,0,0,2,3.99999999999999,2,21
